string,pred_old,preds
1 oz honey syrup,honey syrup,honey syrup
1 oz Jameson whiskey,lentils vodka,jameson whiskey
1 oz lavender simple syrup,lavender simple,lavender simple syrup
1 oz lemon juice,lemon juice,lemon juice
"1 oz lemon juice, fresh",lemon juice,lemon juice
"1 oz lemon juice, freshly squeezed",lemon juice,lemon juice
"1 oz lemon, fresh",lemon,coffee
"1 oz lemon, freshly squeezed",lemon,seltzer
1 oz lillet blanc,lillet blanc,lillet blanc
1 oz lillet rouge,lillet rouge,lillet rouge
1 oz lime juice,lime juice,lime juice
"1 oz lime juice, fresh",lime juice,lime juice
"1 oz lime juice, freshly squeezed",lime juice,lime juice
1 oz mezcal,mezcal,mezcal
1 oz old tom gin,old tom gin,old tom gin
"1 oz orange juice, fresh",orange juice,orange juice
"1 oz orange juice, freshly squeezed",orange juice,orange juice
1 oz passionfruit simple syrup,simple simple syrup,passionfruit simple
1 oz pear brandy,pear brandy,pear brandy
1 oz pimms,pimms,pimms
1 oz pineapple juice,pineapple juice,pineapple juice
"1 oz pineapple juice, fresh",pineapple juice,pineapple juice
1 oz pisco,pisco,pisco
1 oz punt e mes,punt e mes,punt e mes
1 oz pureed concord grape,concord grape,concord grape
1 oz reposado tequila,reposado tequila,reposado tequila
1 oz ruby port,ruby port,ruby port
1 oz rum,rum,rum
1 oz rye whiskey,rye whiskey,rye whiskey
1 oz scotch,scotch,scotch
1 oz seltzer,seltzer,seltzer
1 oz sherry,sherry,sherry
1 oz simple syrup,simple syrup,simple syrup
"1 oz simple syrup, preferably made with turbinado sugar",simple syrup,simple syrup
1 oz single-malt scotch,raspberry,<OOV> malt scotch
1 oz sweet vermouth,sweet vermouth,sweet vermouth
1 oz tequila,tequila,tequila
1 oz triple sec,triple sec,triple sec
1 oz vermouth,vermouth,vermouth
1 oz vodka,vodka,vodka
1 oz whipped cream,whipped cream,whipped cream
1 oz whiskey,whiskey,whiskey
1 oz white rum,white rum,white rum
"1 oz. Parmesan, finely grated",parmesan,pomegranate
"1 pack square wonton wrappers (preferably yellow), about 40-50 pieces",oyster,cantaloupes
1 passion fruit,clove,agave
"1 peach , sliced",peach,peach juice
1 peychauds bitters,peychauds bitters,peychauds bitters
1 piece candied ginger,candied ginger,candied ginger
"1 piece of konbu, about 4 by 3 inches (see note)",chicory,half and
1 piece orange,orange,orange
1 piece orange peel,orange,orange juice
1 pinch brown sugar,brown sugar,brown sugar
"1 pinch cardamom, ground",cardamom,cardamom
"1 pinch cardamom, ground (optional)",cardamom,cardamom
1 pinch chile powder,chile powder,chile powder
1 pinch chipotle chile powder,chipotle chile powder,chipotle chile powder
1 pinch kosher salt,kosher salt,kosher salt
1 pinch salt,salt,salt
1 pinch smoked salt,salt salt,smoked salt
1 pinch smoked salt (optional),salt salt,smoked salt
1 pinch tiny kosher salt,kosher salt,kosher kosher salt
1 pint (16 oz) heavy cream,heavy cream,heavy cream
"1 pint (2 cups) cherry tomatoes, halved or quartered if large",cherry tomatoes,cherry juice
1 pint cherry tomatoes,cherry tomatoes,cherry tomatoes
1 pint cherry tomatoes (optional),cherry tomatoes,cherry tomatoes
1 pint cream,cream,cream
"1 poblano pepper (optional)*, seeds and ribs removed, chopped",poblano pepper,poblano pepper pepper
"1 pound (16 ounces) fresh baby spinach or baby kale, or frozen spinach or kale, or 1 ½ pounds Tuscan kale or spinach bunches, washed and stems removed",baby port,fresh or fixings
"1 pound (450g) bone-in chicken, cut into medium pieces",plum,pound cakes
1 pound (450g) dried dark red kidney beans,dried grapefruit beans,dried dried beans beans
"1 pound (450g) fresh okra, caps trimmed, pods cut crosswise 1/2 inch thick (optional; see note)",pasta,fresh <OOV>
"1 pound (450g) russet potatoes, peeled",russet potato,russet potato
1 pound (450g) short dried pasta (such as casarecce or gemelli) or long fresh egg-dough pasta (such as tagliatelle or fettuccine),dried grapefruit,dried dried pasta pasta
"1 pound (455 grams) ground lamb, at room temperature",sweet,ground fenugreek
1 pound beef brisket,beef brisket,beef brisket
"1 pound beef flank steak, sliced thinly against the grain",beef stock,flank beef steak
"1 pound beef sirloin, cut into 1-inch cubes, trimmed of excess fat and connective tissue",beef sirloin,beef broth
1 pound boneless beef chuck,beef chuck,boneless beef chuck
"1 pound boneless chicken breasts, cut into cubes",chicken breasts,boneless chicken breast
"1 pound boneless, skinless, chicken breasts, sliced crosswise against the grain into 1/2-inch thick strips",canned thighs,chicken chicken
1 pound broccoli florets (about 1 1/2 quarts),broccoli,broccoli rabe
"1 pound chicken breast (about 2 breasts), cubed",chicken breast,chicken back back
"1 pound cream cheese, softened",cream cheese,cream cheese
1 pound dried chickpeas (garbanzo beans) or 4 15-ounce cans cooked chickpeas,rose chickpeas,dried inch dried chickpeas
1 pound dried penne pasta,penne,dried pasta pasta
1 pound dry navy beans,red navy,dried navy beans
"1 pound flank steak, roughly 6 to 7 inches square",flank steak,flank steaks
"1 pound flank steak, skirt steak, hanger steak, or flap meat, cut into 1/4-inch thick strips",flank steak,skirt skirt steak
1 pound frozen hash browns thawed,fig,evaporated
1 pound frozen peas,sherry,frozen peas
1 pound frozen peeled and deveined medium shrimp,cola,dried fresh tomatoes
"1 pound ground chicken, or boneless, skinless meat chopped in a food processor",chicken,ground ground beef stock
1 pound ground lamb,ground lamb,ground lamb
"1 pound littleneck clams, soaked in water for 1 hour",pasta,lumpfish rice
"1 pound mushrooms (button, cremini, shiitake, portabello, or a mix) cleaned, trimmed, and roughly chopped",mushrooms,shiitake almond
"1 pound mussels, scrubbed and de-bearded",mussels,gran classico cartridge
1 pound oxtails,oxtails,oxtails
1 pound pasta,pasta,pasta pasta
"1 pound red potatoes, cut into ¾” cubes (about 3 cups)",red potatoes,red potato
"1 pound skinless, boneless chicken breast, cut in bite-sized pieces",chicken liqueur,boneless chicken breast
1 pound slab pork fat back,cured pork,sweet cakes
"1 pound thinly-sliced chicken cutlets, cut into 1/2-inch-thick strips",plum,boneless chicken chicken
"1 prosecco, chilled",prosecco,chilled
1 pt half and half,half and half,half and half
1 pt heavy cream,heavy cream,heavy cream
"1 pt strawberry, diced",strawberry,butter
1 pt whole milk,whole milk,whole milk
1 qt ice cube,ice cube,ice cube
1 qt raw strawberry,strawberry,raw strawberry
1 qt seltzer,seltzer,seltzer
1 qt simple syrup,simple syrup,simple syrup
"1 qt strawberry, split",strawberry,cantaloupes
1 qt water,water,water
"1 qt water, chilled",water,cherry
1 quart (32 ounces) homemade or store-bought low-sodium chicken stock,almond,unfiltered chicken chicken stock
"1 quart (900ml) low-sodium chicken broth (preferably homemade), divided",plum bitters,low sodium chicken back
1 quart (950ml) low-sodium homemade or store-bought chicken stock,plum wing,low sodium chicken stock
"1 quart low sodium store-bought or homemade chicken stock, divided",agar,low sodium chicken leg
1 recipe 2 minute hollandaise sauce,tangerine veal,<OOV> sauce
1 recipe 40 cloves and a chicken,plums,milk and
1 recipe adobo grilled pork chops,chuck chocolate,pork chops
1 recipe ajitsuke tamago ramen egg,plum,egg egg
1 recipe almond butter,almond petal,almond extract
1 recipe almond vinaigrette,almond,almond
1 recipe almond vinaigrette (optional),almond,almond
1 recipe aloo sabzi,tangerine,shchi shchi
1 recipe american beef stew,shirataki chuck,beef beef
1 recipe angel hair pasta with raw tomato sauce,angel hair pasta,raw chili tomato
1 recipe apple sharlotka,apple,apple
1 recipe apple strudel,apple,apple
1 recipe applesauce,thyme,buttermilk
1 recipe arroz caldo,tangerine,shchi shchi
1 recipe arugula apple and pomegranate salad,apple bag,dried infused simple
1 recipe arugula fennel and orange salad,arugula,dried orange orange
1 recipe asparagus tarragon veloute,asparagus,tarragon
1 recipe atolillo,ales,shchi shchi
1 recipe avgolemono soup,half,tomato noodle
1 recipe baba ganoush,tangerine,shchi shchi
1 recipe baby back ribs,baby back ribs,baby back ribs
1 recipe bacon and corn hash,bacon,warm corn
1 recipe bacon and egg breakfast casserole,bacon,egg
1 recipe bagels,ales,shchi shchi
1 recipe bagels (optional),tobiko,shchi shchi
1 recipe baguette,baguette,baguette
1 recipe baharat,baharat,shchi shchi
1 recipe baked apples,apples,gala apples
1 recipe baked buffalo wings,plum pasta,bornholmer beans
1 recipe banana bread,banana filters,banana bread
1 recipe banana nut muffins,banana chip,macadamia crackers
1 recipe banana whipped cream,banana cream,whipped cream cream
1 recipe barbecue sauce,sauce sauce,barbecue sauce
1 recipe basic fish tacos,grapefruit hefeweizen,whole beans
1 recipe basil oil,basil,basil oil
1 recipe beef bulgogi,beef,milk
1 recipe beef pho,beef,milk
1 recipe beef stroganoff,beef,milk
1 recipe beef tenderloin,beef tenderloin,beef tenderloin
1 recipe beet puree,avocado puree,pistachio liqueur
1 recipe beet salad,lasagna,demerara juice
1 recipe bittersweet chocolate ganache,bittersweet chocolate,bittersweet chocolate
1 recipe black bean and corn salad,black bean bass,black sesame apple
1 recipe black bean burgers,black bean bass,black coffee
1 recipe black bean burgers (optional),black bean bass,black coffee
1 recipe black bean quesadillas,black bean bass,black coffee
1 recipe black bean soup,black bean,black bean tomato
1 recipe black sesame ice cream,black ice bass,vanilla ice cream
1 recipe blistered tomato pasta salad,plum tomato,spicy tomato
1 recipe blueberry buckle,blueberry,blueberry
1 recipe blueberry lemon scones,blueberry juice,clam juice
1 recipe blueberry pound cake,veal scallopino,pound cake cake
1 recipe boiled octopus,agar,mud octopus
1 recipe braised carrots,fritos,potatoes
1 recipe braised lamb shank,lamb shank,lamb shank
1 recipe broccoli cheese soup,celery powder,sour tomato
1 recipe broccoli salad with pistachios,broccoli,blanched jalapenos
1 recipe brown butter,short cherries,brown sugar
1 recipe brown butter carrot cake,short cherries,natural cake flour
1 recipe brussels sprout salad with nuts and goat cheese,brussels sprout,swiss swiss cheese
1 recipe brussels sprouts with bacon and cheese,brussels sprouts,brussels brussels sprouts
1 recipe buckwheat blini,buckwheat,buckwheat
1 recipe buttermilk biscuits,buttermilk,buttermilk
1 recipe buttermilk blue cheese dressing,orange acid meat,sour blue cheese
1 recipe buttermilk coleslaw,buttermilk,buttermilk
1 recipe buttermilk dressing,buttermilk,buttermilk
1 recipe buttermilk drop biscuits,buttermilk,buttermilk substitute
1 recipe buttermilk vanilla waffles,buttermilk,vanilla extract
1 recipe buttermilk waffles,buttermilk,buttermilk
1 recipe butternut squash soup,butternut squash,toasted breast
1 recipe cacio e pepe,chocolate simple,<OOV> 2
1 recipe caesar salad,plum,fusilli juice
1 recipe cajeta,ales,shchi shchi
1 recipe cajun shrimp and sausage skillet,bornholmer,dried fish sausage
1 recipe caldo verde,tangerine,madeira beans
1 recipe candied orange peel,dark ginger,toasted orange juice
1 recipe candied yams,minneola,candied
1 recipe cannoli,ales,shchi shchi
1 recipe cantaloupe salad with olives and onion,banana,burger avocado rind
1 recipe caprese salad,plum,fusilli juice
1 recipe cardamom ice cream,poblano wine,ice ice cream
1 recipe carrot and currant salad,carrot liqueur,ripe beefsteak tomato
1 recipe carrot and raisin salad,carrot liqueur,ripe infused tomato
1 recipe carrot ginger soup,dark,ginger ginger
1 recipe carrot slaw with cranberries and nuts,carrot,carrot juice
1 recipe cashew butter,cashew,sesame butter
1 recipe cast iron pan pizza,plum,garam
1 recipe cauliflower gratin,cauliflower,cauliflower
1 recipe cauliflower parmesan cake,skirt acid,bittersweet rind
1 recipe cauliflower with cheese sauce,cauliflower,burger sausage tomato
1 recipe celery oil,celery oil,celery oil
1 recipe celery root puree,celery root,ancho cumin
1 recipe ceviche,ales,shchi shchi
1 recipe ceviche de mango,orange marmalade,blanco basil
1 recipe chai masala,chai masala,chai masala
1 recipe charred carrot salad with feta,dark fivespice,freshly minced salad salad
1 recipe chelow,ales,shchi shchi
1 recipe cherry sorbet,cherry heering,cherry bitters
1 recipe cherry walnut Brussels sprouts,white chard syrup,sweet brussels sprouts
1 recipe chewy rye bread,tapioca flour,rye flour
1 recipe chicken adobo,chicken,adobo seasoning
1 recipe chicken korma,chicken,chicken
1 recipe chicken schnitzel,chicken,chicken
1 recipe chicken shawarma,chicken,chicken
1 recipe chicken stock,chicken stock,chicken stock
1 recipe chickpea salad with cumin and celery,chickpea,chickpea paste
1 recipe chili verde with pork,chili,brewed jack
1 recipe chilled cantaloupe soup,cantaloupe,chilled beefsteak tomato
1 recipe chilled tomato soup,tomato,chilled tomato tomato
1 recipe chilled tomato soup (optional),tomato,chilled tomato tomato
1 recipe chive oil,gingersnaps,chive oil
1 recipe chocolate chip cookies,chocolate chip,chocolate chip
1 recipe chocolate crinkle cookies,chocolate,chocolate
1 recipe chocolate dutch baby,chocolate chocolate,baby simple
1 recipe chocolate financiers,chocolate chocolate,chocolate
1 recipe chocolate financiers (optional),chocolate chocolate,chocolate
1 recipe chocolate frosting,chocolate chocolate,chocolate chips
1 recipe chocolate ice cream,chocolate ice cream,chocolate ice cream
1 recipe chocolate lava muffins,chocolate,english muffins
1 recipe chocolate mousse,chocolate chocolate,chocolate
1 recipe chocolate scones,chocolate chocolate,chocolate
1 recipe chocolate scones (optional),chocolate chocolate,chocolate
1 recipe chocolate tart,chocolate chocolate,chocolate
1 recipe chocolate walnut cookies,chocolate chocolate,walnut liqueur
1 recipe citrus salad,english pea,grapefruit juice
1 recipe clafoutis,ales,shchi shchi
1 recipe clarified butter,butter,salted butter
1 recipe classic chicken salad,plum chocolate,chicken oil
1 recipe classic french omelette,tangerine,lima beans
1 recipe classic hash browns,tangerine,shchi shchi
1 recipe classic panzanella salad,plum,fusilli juice
1 recipe classic sandwich bread,sandwich bread,sandwich bread
1 recipe clementine almond cake,smoked sablefish,creme cake flour
1 recipe coconut almond pudding,coconut yolk,coconut extract
1 recipe coconut chili roasted squash,espresso juice,toasted thai squash
1 recipe cognac pan sauce,cognac,ciliegine sauce
1 recipe colcannon,ales,shchi shchi
1 recipe cold soba and kale salad,half liqueur,cold kale juice juice
1 recipe colombian vegetable soup,marjoram powder,vegetable juice
1 recipe corn chowder,corn,corn
1 recipe corn tortillas,corn tortillas,corn tortillas
1 recipe crab cakes,crab whiskey,clam flour
1 recipe cranberry sauce,cranberry sauce,cranberry sauce
1 recipe cranberry tart,cranberry,cranberry
1 recipe cream biscuits,mustard,cream
1 recipe cream cheese buttercream,cream cheese,dried buttercream frosting
1 recipe creamy coleslaw,tobiko,vanilla
1 recipe creamy french dressing,oat,sweet rose
1 recipe creamy pea and mint salad,pea,spicy or simple
1 recipe croutons,croutons,croutons
1 recipe crumpets,ales,shchi shchi
1 recipe cucumber and mint salad,cucumber and,spicy simple
1 recipe cucumber soda foam,chile powder,cucumber juice
1 recipe cured egg yolks,egg white,smoked egg yolks
1 recipe demerara syrup,demerara syrup,demerara syrup
1 recipe diy superfine sugar,superfine sugar,superfine sugar
1 recipe easy apple pie,grapefruit chips,apple apple
1 recipe easy black beans,black grapefruit,black beans beans
1 recipe easy carrot and chickpea salad,carrot,spicy chickpea lamb
1 recipe easy fried rice,sherry,prepared rice
1 recipe easy lentil soup,tangerine,lasagna noodle
1 recipe easy pie dough,pie dough,pie pie
1 recipe egg in a hole,egg,egg
1 recipe egg salad,egg white,sandwich rind
1 recipe eggs benedict,eggs,eggs
1 recipe eggs over easy,eggs,egg
1 recipe elephant garlic chips,celery salt,smoked fixings
